,Player,Mat,Inn,No,Runs_bat,HS,Avg_bat,BF,Sr_bat,Hund,Fif,Four,Six,Unnamed: 0,Mat,Inn,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4W,5W,Maid,Dots,Catches,Run Outs,Stumping,Pts,Price,Role
38,Suresh Raina,12,11,2,160,54,17.77,128,125,0,1,13,9,135,,,,,,,,,,,,,,7,0,0,81.5,11 crore,Batsman
39,Rahul Tewatia,14,11,1,155,44,15.5,147,105.44,0,0,11,6,32,14,13,37,340,8,3/39,42.5,9.18,27.75,0,0,,50,2,0,0,131.5,3 crore,Bowler
40,Shahrukh Khan,11,10,3,153,47,21.85,114,134.21,0,0,9,10,138,,,,,,,,,,,,,,4,0,0,67.5,50 lakh,Batsman
41,Steve Smith,8,7,1,152,39,25.33,135,112.59,0,0,13,2,143,,,,,,,,,,,,,,9,0,0,62,12.50 crore,Batsman
42,Evin Lewis,5,5,0,151,58,30.2,93,162.36,0,1,18,7,137,,,,,,,,,,,,,,0,0,0,69.5,1 crore,Batsman
43,Jason Roy,5,5,0,150,60,30,121,123.96,0,1,21,1,142,,,,,,,,,,,,,,3,0,0,63.5,1.50 crore,Batsman
44,Aiden Markram,6,6,1,146,42,29.2,119,122.68,0,0,12,4,90,6,2,4,23,0,0/5,0,5.75,0,0,0,,9,3,0,0,60.5,20 lakh,Bowler
45,Krunal Pandya,13,12,2,143,39,14.3,123,116.26,0,0,10,6,44,13,12,33.1,265,5,1/13,53,7.98,39.8,0,0,,68,6,1,0,147.5,8.80 crore,All-Rounder
46,Eoin Morgan,17,16,4,133,47,11.08,139,95.68,0,0,8,6,140,,,,,,,,,,,,,,9,1,0,64.5,5.25 crore,Batsman
47,Wriddhiman Saha,9,9,0,131,44,14.55,140,93.57,0,0,7,5,146,,,,,,,,,,,,,,6,0,0,50,1.2 crore,Batsman
48,Hardik Pandya,12,11,2,127,40,14.11,112,113.39,0,0,11,5,144,,,,,,,,,,,,,,4,2,0,57,11 crore,All-Rounder
49,David Miller,9,8,3,124,62,24.8,113,109.73,0,1,11,3,147,,,,,,,,,,,,,,4,1,0,49,75 lakhs,Batsman
50,Saurabh Tiwary,5,4,2,115,50,57.5,97,118.55,0,1,10,2,149,,,,,,,,,,,,,,1,0,0,34.5,50 lakhs,Batsman
51,Robin Uthappa,4,4,0,115,63,28.75,84,136.9,0,1,8,5,148,,,,,,,,,,,,,,0,0,0,37.5,3 crore,Batsman
52,MS Dhoni,16,11,4,114,18,16.28,107,106.54,0,0,12,3,136,,,,,,,,,,,,,,13,1,0,74,15 crore,Wicket Keeper
53,Abdul Samad,11,10,1,111,28,12.33,87,127.58,0,0,4,8,83,11,1,1,9,1,1/9,9,9,6,0,0,,1,8,0,0,62.5,20 lakhs,All-Rounder
54,Abhishek Sharma,8,7,1,98,33,16.33,75,130.66,0,0,7,4,48,8,6,10,64,4,2/4,16,6.4,15,0,0,,25,2,0,0,75.5,55 lakhs,Batsman
55,Mahipal Lomror,4,4,1,94,43,31.33,73,128.76,0,0,3,6,76,4,4,7,47,1,1/22,47,6.71,42,0,0,,13,0,0,0,45,20 lakhs,All-Rounder
56,Pat Cummins,7,5,2,93,66,31,56,166.07,0,1,5,8,29,7,7,26.5,237,9,3/24,26.33,8.83,17.88,0,0,,60,2,0,0,137,15.5 crore,All-Rounder
57,Riyan Parag,11,10,2,93,25,11.62,83,112.04,0,0,6,4,89,11,6,6.1,73,1,1/7,73,11.83,37,0,0,,7,6,2,0,56.5,20 lakhs,Batsman
58,Marcus Stoinis,10,7,3,89,27,22.25,72,123.61,0,0,11,1,73,10,8,11.1,117,2,1/7,58.5,10.47,33.5,0,0,,17,2,0,0,60,4.80 crore,All-Rounder
