Player, Mat, inn, ov, Runs, Wkts, BBI, Avg, Econ, SR, 4W, 5W
Krunal Pandya,13,12,33.1,265,5,68,53.00,7.98,39.80,0,0
Pat Cummins,7,7,26.5,237,9,60,26.33,8.83,17.88,0,0
Harpreet Brar,7,7,23,139,5,56,27.80,6.04,27.60,0,0
Khaleel Ahmed,7,7,27,219,5,56,43.80,8.11,32.40,0,0
Nathan Coulter-Nile,5,5,20,127,7,53,18.14,6.35,17.14,1,0
Jaydev Unadkat,6,6,22,168,4,52,42.00,7.63,33.00,0,0
Sandeep Sharma,7,7,23.3,203,3,52,67.66,8.63,47.00,0,0
Moeen Ali,15,10,25.2,161,6,50,26.83,6.35,25.33,0,0
Shakib Al Hasan,8,8,26,187,4,50,46.75,7.19,39.00,0,0
Rahul Tewatia,14,13,37,340,8,50,42.50,9.18,27.75,0,0
Jayant Yadav,5,5,17,130,2,44,65.00,7.64,51.00,0,0
Andre Russell,10,8,19,188,11,39,17.09,9.89,10.36,0,1
Riley Meredith,5,5,17,169,4,38,42.25,9.94,25.50,0,0
Kartik Tyagi,4,4,14,124,4,37,31.00,8.85,21.00,0,0
Chris Woakes,3,3,11,82,5,33,16.40,7.45,13.20,0,0
Washington Sundar,6,6,16,118,3,32,39.33,7.37,32.00,0,0
George Garton,5,5,15,135,3,32,45.00,9.00,30.00,0,0
Moises Henriques,5,5,10,45,4,31,11.25,4.50,15.00,0,0
Umran Malik,3,3,12,96,2,31,48.00,8.00,36.00,0,0
Deepak Hooda,12,7,16,136,2,31,68.00,8.50,48.00,0,0
Adam Milne,4,4,14,131,3,31,43.66,9.35,28.00,0,0
Dan Christian,9,9,16.4,155,4,29,38.75,9.30,25.00,0,0
Chris Jordan,4,4,12,96,4,27,24.00,8.00,18.00,0,0
Nathan Ellis,3,3,12,98,1,27,98.00,8.16,72.00,0,0
Kieron Pollard,14,9,13.1,95,5,26,19.00,7.21,15.80,0,0
Ishant Sharma,3,3,12,97,1,26,97.00,8.08,72.00,0,0
Abhishek Sharma,8,6,10,64,4,25,16.00,6.40,15.00,0,0
Amit Mishra,4,4,14,109,6,25,18.16,7.78,14.00,1,0
Glenn Maxwell,15,6,16,135,3,25,45.00,8.43,32.00,0,0
Lungi Ngidi,3,3,12,125,5,25,25.00,10.41,14.40,0,0
Jhye Richardson,3,3,11,117,3,24,39.00,10.63,22.00,0,0
Tim Southee,3,3,12,95,3,23,31.66,7.91,24.00,0,0
Vijay Shankar,7,5,11,100,3,22,33.33,9.09,22.00,0,0
Shahbaz Ahmed,11,6,14,92,7,21,13.14,6.57,12.00,0,0
Lalit Yadav,7,5,14,101,4,21,25.25,7.21,21.00,0,0
Jimmy Neesham,3,3,9,66,5,21,13.20,7.33,10.80,0,0
Fabian Allen,4,3,11,90,1,20,90.00,8.18,66.00,0,0
Murugan Ashwin,3,3,11,97,1,19,97.00,8.81,66.00,0,0
