name,match,inn,no,runs,hs,avg,bf,sr,hund,fif,four,six
Ravichandran Ashwin,13,5,2,44,20,14.66,14.66,104.76,0,0,2,1
Axar Patel,12,6,1,40,12,8,8,86.95,0,0,2,1
Jayant Yadav,5,3,1,34,23,17,17,130.76,0,0,2,1
Washington Sundar,6,4,0,31,10,7.75,7.75,65.95,0,0,2,0
Shivam Mavi,9,2,0,25,20,12.5,12.5,125,0,0,2,2
Tom Curran,3,2,1,21,21,21,21,123.52,0,0,2,0
Anmolpreet Singh,1,1,0,16,16,16,16,114.28,0,0,2,1
Chetan Sakariya,14,6,1,16,7,3.2,3.2,64,0,0,2,0
Jasprit Bumrah,14,7,5,16,5,8,8,94.11,0,0,2,0
Jhye Richardson,3,2,0,15,15,7.5,7.5,62.5,0,0,2,0
Chris Woakes,3,1,1,15,15,0,0,136.36,0,0,2,0
Mandeep Singh,1,1,0,15,15,15,15,107.14,0,0,2,0
Jagadeesha Suchith,2,1,1,14,14,0,0,233.33,0,0,2,1
Kagiso Rabada,15,3,2,13,9,13,13,216.66,0,0,2,0
Vijay Shankar,7,5,0,58,28,11.6,11.6,111.53,0,0,1,3
Chris Jordan,4,2,0,32,30,16,16,152.38,0,0,1,3
Dawid Malan,1,1,0,26,26,26,26,100,0,0,1,1
Glenn Phillips,3,3,1,26,14,13,13,78.78,0,0,1,2
Mohammed Siraj,15,4,3,20,12,20,20,76.92,0,0,1,1
Prabhsimran Singh,2,2,0,19,12,9.5,9.5,82.6,0,0,1,1
Lockie Ferguson,8,3,3,18,18,0,0,163.63,0,0,1,1
Murugan Ashwin,3,2,0,15,9,7.5,7.5,62.5,0,0,1,0
Virat Singh,3,2,0,15,11,7.5,7.5,57.69,0,0,1,0
Rahul Chahar,11,5,0,14,8,2.8,2.8,93.33,0,0,1,0
Dan Christian,9,7,1,14,9,2.33,2.33,58.33,0,0,1,0
Ajinkya Rahane,2,1,0,8,8,8,8,100,0,0,1,0
Sandeep Sharma,7,2,1,8,8,8,8,114.28,0,0,1,0
Siddarth Kaul,8,2,2,8,7,0,0,100,0,0,1,0
Avesh Khan,16,1,1,5,5,0,0,166.66,0,0,1,0
