Player, Ov, Runs, Wkts, SR, Against, Venue, Match Date
Varun Chakaravarthy,4,38,0,0,CSK,Dubai International Stadium,15-Oct-21
Chetan Sakariya,4,38,0,0,SRH,Arun Jaitley Stadium,02-May-21
Harbhajan Singh,4,38,0,0,RCB,Chidambaram,18-Apr-21
Kagiso Rabada,4,38,1,24,RCB,Narendra Modi Stadium,27-Apr-21
Piyush Chawla,4,38,1,24,SRH,Zayed Cricket Stadium,08-Oct-21
Shardul Thakur,4,38,3,8,KKR,Dubai International Stadium,15-Oct-21
Chris Morris,3,38,0,0,RCB,Wankhede Stadium,22-Apr-21
Andre Russell,2,38,0,0,RCB,Chidambaram,18-Apr-21
Bhuvneshwar Kumar,4,37,0,0,RR,Arun Jaitley Stadium,02-May-21
Ishant Sharma,4,37,0,0,PBKS,Narendra Modi Stadium,02-May-21
Kagiso Rabada,4,37,0,0,RCB,Dubai International Stadium,08-Oct-21
Deepak Chahar,4,37,0,0,MI,Arun Jaitley Stadium,01-May-21
Mustafizur Rahman,4,37,1,24,CSK,Wankhede Stadium,19-Apr-21
Shardul Thakur,4,37,1,24,SRH,Sharjah Cricket Stadium,30-Sep-21
T Natarajan,4,37,1,24,KKR,Chidambaram,11-Apr-21
Anrich Nortje,4,37,1,24,CSK,Dubai International Stadium,04-Oct-21
Trent Boult,4,37,1,24,RR,Arun Jaitley Stadium,29-Apr-21
Ravindra Jadeja,4,37,2,12,KKR,Dubai International Stadium,15-Oct-21
Harshal Patel,4,37,2,12,DC,Narendra Modi Stadium,27-Apr-21
Kagiso Rabada,4,37,3,8,SRH,Dubai International Stadium,22-Sep-21
Mustafizur Rahman,3.3,37,1,21,MI,Arun Jaitley Stadium,29-Apr-21
Jayant Yadav,3,37,0,0,RR,Arun Jaitley Stadium,29-Apr-21
Andre Russell,3,37,0,0,MI,Zayed Cricket Stadium,23-Sep-21
Mohammad Shami,3,37,0,0,DC,Narendra Modi Stadium,02-May-21
Deepak Hooda,2,37,0,0,RR,Dubai International Stadium,21-Sep-21
Khaleel Ahmed,4,36,0,0,CSK,Arun Jaitley Stadium,28-Apr-21
Sunil Narine,4,36,0,0,DC,Narendra Modi Stadium,29-Apr-21
Shivam Mavi,4,36,0,0,RCB,Sharjah Cricket Stadium,11-Oct-21
Deepak Chahar,4,36,0,0,DC,Wankhede Stadium,10-Apr-21
Varun Chakaravarthy,4,36,0,0,SRH,Chidambaram,11-Apr-21
